hospital_id,hospital_name,address,district,state,latitude,longitude,contact,specialties,facilities,emergency_services,hospital_category,total_num_beds,number_doctor
1537,City Hospital And Research Centre,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.492272,95.361689,+91-8318250726,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,211,33
1538,Dr Bawaris Nursing Home,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.224936,94.967461,+91-6242425303,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,222,35
1539,Jeevan Jyoti Nursing Home,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.494705,95.369093,+91-6601877719,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,233,37
1540,Life Line Hospital - Tinsukia,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,26.185724,91.751495,+91-8164216179,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,244,39
1541,Pinewood Hospital,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.234483,94.862682,+91-9935895288,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,35,5
1542,St Lukes Hospital,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.479619,95.36284,+91-9141843676,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,46,7
1543,"Tinsukia Ortrhopaedic Clinic, Hospital And Researc","Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.148626,94.830718,+91-9318026336,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,57,9
1544,M R Agarwal Memorial Diagnostics and Hospital,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.188095,94.826513,+91-7296068379,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,68,10
1545,Cherish Hospital and Diagnostic Center,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.281732,94.779905,+91-8238756255,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,79,12
1546,Margherita Community Health Centre,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.291066,95.669461,+91-6949371357,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,90,14
1547,Munaf Memorial Hospital and Research Center,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.177481,94.883189,+91-8391086093,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,101,16
1548,Rontix Hospital,"Main Hospital Road, Tinsukia, Assam",Tinsukia,Assam,27.291066,95.669461,+91-8541190928,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,112,17
1549,Abhinav Hospital,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.371281,87.190913,+91-8688620050,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,123,19
1550,Jeevan Jyoti Orthopedic Emergency And Trauma Center,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.272395,87.204176,+91-6201365642,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,134,21
1551,Lovely Nursing Home,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.399787,87.246892,+91-8883394191,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,145,23
1552,Mohini Devi Rungta Hospital,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.256089,87.311194,+91-8990621826,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,156,24
1553,Sadar Hopital Araria,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.282006,87.277788,+91-7616884203,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,167,26
1554,The Rural Institute Of Medical Aids,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.323585,87.328087,+91-7034950478,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,178,28
1555,Baba Gramin Seva Sadan,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.299274,87.266612,+91-9647891535,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,189,30
1556,Dr. Alakh Niranjan Memorial Hospital,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.299274,87.266612,+91-6967847466,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,200,32
1557,Dr. Chaudhary Hospital and Research Institute,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.299274,87.266612,+91-7291653057,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,211,33
1558,Mata Mariam Nursing Home,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.299274,87.266612,+91-9683111580,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,222,35
1559,Kumar Ortho and Maternity Home,"Main Hospital Road, Araria, Bihar",Araria,Bihar,26.276097,87.171934,+91-9928783441,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,233,37
1560,Shishu Kalyn Kendra,"Main Hospital Road, Bhojpur, Bihar",Bhojpur,Bihar,25.553642,84.655278,+91-6247492925,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,244,39
1561,Arwal Surgical And Orthocare Centre,"Main Hospital Road, Arwal, Bihar",Arwal,Bihar,25.130142,84.599744,+91-8393528385,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,35,5
1562,Khursheed Ahmad Memorial Hospital,"Main Hospital Road, Arwal, Bihar",Arwal,Bihar,25.183012,84.634723,+91-7095197958,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,46,7
1563,Pipra Hospital Pvt.Ltd,"Main Hospital Road, Arwal, Bihar",Arwal,Bihar,25.226966,84.643989,+91-6873324617,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,57,9
1564,Royson Meaternitey and Nursing Home,"Main Hospital Road, Arwal, Bihar",Arwal,Bihar,25.220831,84.656276,+91-7931819683,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,68,10
1565,Aastha Nursing Home,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,21.140014,77.599213,+91-9112067620,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,79,12
1566,Haddi and Dental Hospital,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,19.876165,75.343314,+91-9562272871,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,90,14
1567,Health World,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,19.876165,75.343314,+91-6818112342,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,101,16
1568,Pulse Women Hospital,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,19.876165,75.343314,+91-6221348142,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,112,17
1569,S D Hospital,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,25.169538,84.734523,+91-7153033730,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,123,19
1570,Samarth Eye Hospital and Laser Surgery Centre,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,21.083795,77.661817,+91-6169855455,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,134,21
1571,Shanker Nursing Home,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,19.876165,75.343314,+91-9752171298,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,145,23
1572,Swastik Hospital,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,19.876165,75.343314,+91-6312606333,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,156,24
1573,Magadh Clinic,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,21.163544,77.694354,+91-9110867299,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,167,26
1574,Dord Hospital,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,25.033226,84.398881,+91-8883858045,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,178,28
1575,Rahat Clinic,"Main Hospital Road, Aurangabad, Bihar",Aurangabad,Bihar,24.617466,84.225864,+91-8400244542,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,189,30
1576,Badri Ortho Clinic,"Main Hospital Road, Banka, Bihar",Banka,Bihar,25.004757,87.037428,+91-9895676325,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,200,32
1577,Dr Ajay Kumar,"Main Hospital Road, Banka, Bihar",Banka,Bihar,24.88721,87.133561,+91-7430070821,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,211,33
1578,Dr Sailja Jha,"Main Hospital Road, Banka, Bihar",Banka,Bihar,24.96701,87.112053,+91-6909707455,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,222,35
1579,Dr Sumitra Choudhary,"Main Hospital Road, Banka, Bihar",Banka,Bihar,25.09554,86.964981,+91-6503869216,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,233,37
1580,Dr. Akhilesh Kumar,"Main Hospital Road, Banka, Bihar",Banka,Bihar,24.868126,86.918585,+91-9207821845,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,244,39
1581,Dr. Gayatri Choudhary,"Main Hospital Road, Banka, Bihar",Banka,Bihar,25.053499,87.009036,+91-7041929790,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,35,5
1582,Dr. Hemant Kumar Das,"Main Hospital Road, Banka, Bihar",Banka,Bihar,25.242795,86.975444,+91-8987692130,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,46,7
1583,Surgery Centre,"Main Hospital Road, Banka, Bihar",Banka,Bihar,24.979017,86.991906,+91-9930438209,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,57,9
1584,Garib Nawaz Clinic,"Main Hospital Road, Banka, Bihar",Banka,Bihar,25.001911,87.050838,+91-7215730003,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,68,10
1585,S Ansari Nursing Home,"Main Hospital Road, Banka, Bihar",Banka,Bihar,24.95562,87.054158,+91-7543008060,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,79,12
1586,Baba Baidynath Eye Hospital,"Main Hospital Road, Munger, Bihar",Munger,Bihar,25.095238,86.663627,+91-7324663629,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,90,14
1587,Advanced Ent and Head Neck Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.114505,83.812698,+91-8135789708,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,101,16
1588,Ananya Nursing Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.033001,83.76974,+91-9102742670,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,112,17
1589,Aradhana Clinic,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.02886,83.768466,+91-9927019611,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,123,19
1590,Arora Nurnig Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.129406,83.788237,+91-6196346343,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,134,21
1591,B. P. Rai Memorial Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.093348,83.737614,+91-6626733282,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,145,23
1592,Balia Referal,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.180197,83.756159,+91-8508397912,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,156,24
1593,Bhushan Maternity Clinic,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.076706,83.724046,+91-6654602021,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,167,26
1594,Bone and Joint Hospital and Trauma Centre,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.128086,83.778735,+91-8447227327,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,178,28
1595,Diabetes and Heart Research Centre,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.146814,83.695431,+91-8811519776,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,189,30
1596,G. Lall Memorial Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.155701,83.734048,+91-9278608906,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,200,32
1597,Hope Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.164185,83.645141,+91-8756056675,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,211,33
1598,Jivan Suraksha,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.115274,83.69163,+91-9147232770,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,222,35
1599,Jyoti Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.124834,83.725834,+91-9093723050,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,233,37
1600,Mahavir Shalya Sansthan,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.096116,83.741706,+91-9819791572,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,244,39
1601,Mahila Aspatal,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.418547,86.310564,+91-8328460033,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,35,5
1602,Medicare and Heart Centre,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.222174,83.742254,+91-8250324141,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,46,7
1603,Mira Nursing Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.208838,83.770696,+91-9513265673,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,57,9
1604,Ortho Centre,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.077549,83.668715,+91-7771211118,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,68,10
1605,Perwez Alam Poly Clinic,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.164053,83.807869,+91-6291920078,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,79,12
1606,Ritul Health Care Centre,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.117238,83.743408,+91-8172106337,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,90,14
1607,S.S.M.Maternity Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.108329,83.752457,+91-8739023440,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,101,16
1608,Shishu Chikitsalaya,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.084531,83.683789,+91-8075346043,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,112,17
1609,Shivani Health Care Centre,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,23.073462,72.591864,+91-8831604672,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,123,19
1610,Shree Agrasen Matri Seva Sadan,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.113513,83.749649,+91-8369291047,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,134,21
1611,Shreshtha Surgical and Maternity Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.113393,83.752854,+91-9101794134,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,145,23
1612,Surya Clinic,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.102311,83.864626,+91-6073626894,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,156,24
1613,Tara Ent Clinic,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.04189,83.748031,+91-7849297832,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,167,26
1614,Uma Nursing Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.39925,86.355409,+91-9462463897,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,178,28
1615,Upchar Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.140129,83.739786,+91-9942989764,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,189,30
1616,Veena Nursing Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.135079,83.761735,+91-6824341906,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,200,32
1617,Veerayatan Netralaya,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.096312,83.726069,+91-7522312933,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,211,33
1618,Vishnupur Nursing Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.113731,83.799303,+91-7602244331,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,222,35
1619,Yogada Poly Clinic,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.169053,83.734668,+91-7044569947,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,233,37
1620,Yugeshwar Kidney Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.146539,83.747322,+91-8937936410,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,244,39
1621,Tara Nursing Home.,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.124744,83.736686,+91-9686023201,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,35,5
1622,Shabnam Hospital,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.114106,83.742257,+91-7740657035,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,46,7
1623,"Manjhoul,Referal","Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.073858,83.796139,+91-6241011818,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,57,9
1624,Appolo Nursing Homeand Research Center,"Main Hospital Road, Nawada, Bihar",Nawada,Bihar,24.792774,85.288057,+91-6355134188,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,68,10
1625,Bharat Nursing Home,"Main Hospital Road, Nawada, Bihar",Nawada,Bihar,24.886849,85.530311,+91-8146875428,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,79,12
1626,Budha Hospital,"Main Hospital Road, Nawada, Bihar",Nawada,Bihar,24.91798,85.464451,+91-9630663819,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,private,90,14
1627,Kuju Nursing Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.040208,83.787427,+91-8430335702,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,101,16
1628,Maa Ambe Nursing Home,"Main Hospital Road, Gaya, Bihar",Gaya,Bihar,24.721805,84.002194,+91-9843098977,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",no,private,112,17
1629,Matihani Referal,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,26.605615,85.845744,+91-8268426402,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,123,19
1630,Nav Jeevan Hospital,"Main Hospital Road, Nawada, Bihar",Nawada,Bihar,24.851023,85.415507,+91-9947728706,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,134,21
1631,Polo Hospital,"Main Hospital Road, Nalanda, Bihar",Nalanda,Bihar,25.326581,85.404847,+91-6182758417,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,145,23
1632,Raj Nursing Home,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.131098,83.856442,+91-8973353078,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,156,24
1633,Ram Krishna Hospitaland Medical Research Center,"Main Hospital Road, Begusarai, Bihar",Begusarai,Bihar,25.159585,83.71066,+91-6199982132,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,167,26
