hospital_id,Hospital_Name,Address_Original_First_Line,District,State,latitude,longitude,Telephone,Mobile_Number,specialties,facilities,emergency_services,Emergency_Num,Hospital_Category,Hospital_Care_Type,Total_Num_Beds,number_doctor,Sr_No,Location_Coordinates,Location,Discipline_Systems_of_Medicine,Subdistrict,Pincode,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
,Lakhani Hospital,Railway Station Road,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6821.0,"21.522184, 70.4578768",Railway Station Road,0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Orthopadic Hospital,"1 Th Floor , Heera Panna Complex, S.T Road",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6822.0,,"1 Th Floor, Heera Panna Complex, S.T Road",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Orthopaedic Hospital,Lal Palace Rd,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6823.0,"21.522184, 70.4578768",Lal Palace Rd,0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Pansuria Hospital and Icu,"Balaji Avenue, Shubham Residency",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6824.0,,"Balaji Avenue, Shubham Residency",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Poonam Maternity and Surgical Hospital,"Manthan Complex, First Floor, Lal Bahadur Shastri Society, OppositeS.T.Stand, OppositeSahakar Bhavan",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6825.0,,"Manthan Complex, First Floor, Lal Bahadur Shastri Society, OppositeS.T.Stand, OppositeSahakar Bhavan",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Sankalp Maternity Hospital,"Prizam Complex,2Nd Floor , Above State Bank Of India,Bus Sation Chock",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6826.0,,"Prizam Complex,2Nd Floor, Above State Bank Of India,Bus Sation Chock",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Savani Surgical Hospital,Sarthi Complex Hirabaug,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6827.0,"21.2143906, 72.8604312",Sarthi Complex Hirabaug,0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Shraddha Arogya Mandir,"Kuvabat Madikaz Ram Anand, Laboratory,New Bus Stand",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6828.0,,"Kuvabat Madikaz Ram Anand, Laboratory,New Bus Stand",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Shubham Maternity Home And Fertility Center,"Dvarkadhish Market,B-2,1Nd Floor, Near Sardarbag Road, Bus Station Road",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6829.0,,"Dvarkadhish Market,B-2,1Nd Floor, Near Sardarbag Road, Bus Station Road",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Spandan Children Hospital,"3Rd. Floor, B- Dwarkadhish Market",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6830.0,"18.4655611, 73.8598476","3Rd. Floor, B- Dwarkadhish Market",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Sudershan Hospital,"1St Floor,Sakar Bhavan, Lalbahadur Shashtri Society, Opp S T Bus Stand",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6831.0,,"1St Floor,Sakar Bhavan, Lalbahadur Shashtri Society, Opp S T Bus Stand",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Thesia Maternity and Gyanec Surgicla Hospital,"2Nd Floor,Balaji Avenue, Subham Residency, Motibaug Road",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6832.0,,"2Nd Floor,Balaji Avenue, Subham Residency, Motibaug Road",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Thummar Maternity and Sonography Hospital,"J.B.Complex,OppositeS.T. Stand",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6833.0,,"J.B.Complex,OppositeS.T. Stand",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Trada Hospital and Icu,"Manthan Complex,3Rd Floor,Nr.S.T. Bus Station",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6834.0,,"Manthan Complex,3Rd Floor,Nr.S.T. Bus Station",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Trimurti Hospital,Near S T Station Saradarbaugh Road,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6835.0,,Near S T Station Saradarbaugh Road,0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Vitrag Children Hospital And Neonatal Care Centre,0Pp State Bank Of India,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6836.0,,0Pp State Bank Of India,0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Vraj Eye Hospital and Laser Centre,"26/A, Nehru Park Society, Nr - Garbi Chowk, Nr- Bus Station",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6837.0,,"26/A, Nehru Park Society, Nr - Garbi Chowk, Nr- Bus Station",0,0,362001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,N M Lakhani Hospital,Rly.Station Road,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6838.0,"21.522184, 70.4578768",Rly.Station Road,0,0,362002,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Savaliya Surgical Hospital and Bhakti Maternith Home,"Aanand Park Society,Opp Eyes Hospital, Road,Visavadar",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6839.0,"21.3410369, 70.7522299","Aanand Park Society,Opp Eyes Hospital, Road,Visavadar",0,0,362130,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Vaghasia Hospital and Maternity Home,"Gundran Road, Talala(Gir)",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6840.0,,"Gundran Road, Talala(Gir)",0,0,362150,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Sangani Hospital,"Opp Bus Stand,Keshod",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6841.0,"21.2997164, 70.2492882","Opp Bus Stand,Keshod",0,0,362220,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Madhav Prasutigruh and Surgical Hospital,Bandar Road. Magrol,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6842.0,"21.522184, 70.4578768",Bandar Road. Magrol,0,0,362225,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Shifa Hospital - Mangrol,Mangrol,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6843.0,"21.1171698, 70.1158113",Mangrol,0,0,362225,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Aasha Hospital,"Near Kaveri Hotel,S.T. Road,Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6844.0,"20.9158979, 70.3628516","Near Kaveri Hotel,S.T. Road,Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Asha Maternity and Children Hospital,"Near Hotel Kaveri, B/H Bus Stand, Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6845.0,"20.9158979, 70.3628516","Near Hotel Kaveri, B/H Bus Stand, Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,"Deep Darshan Eyecare Hospital(C/O Dr Thanki""S Eye Hospital)","Prakashnagar Main Road,Opp Geb Office,Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6846.0,"20.9158979, 70.3628516","Prakashnagar Main Road,Opp Geb Office,Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Dr. Thanki Eye Hospital,"Prakash Nagar, Main Road, Opposite G.E.B. Offices, Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6847.0,"20.9158979, 70.3628516","Prakash Nagar, Main Road, Opposite G.E.B. Offices, Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Madhuram Hospital,"Doctor's House , Heera Panna Complex, S.T Road, Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6848.0,"20.9158979, 70.3628516","Doctor's House, Heera Panna Complex, S.T Road, Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Shivanand Eye Hospital,"Street No:8 Prakash Centre , Rajmahal Road Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6849.0,"20.9158979, 70.3628516","Street No:8 Prakash Centre, Rajmahal Road Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Shri Rang Hospital,"Behind Hotel Kaveri, S T Road Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6850.0,"20.9158979, 70.3628516","Behind Hotel Kaveri, S T Road Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Sub District Hospital-Veraval,"Rajendra Bhavan Road,Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6851.0,"20.9158979, 70.3628516","Rajendra Bhavan Road,Veraval",0,0,362265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Utkarsh Hospital,Opposite S.T. Stand,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6852.0,"21.522184, 70.4578768",Opposite S.T. Stand,0,0,362265,0,0,0,0,0,244280,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Deep Eye Hospital,"Shubham Towers,1St Floor,Opposite S.T. Bus Stand",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6853.0,,"Shubham Towers,1St Floor,Opposite S.T. Bus Stand",0,0,362266,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Dholakia Hospital,"Behind Hotel Kaveri ,Near S.T. Bus Stand",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6854.0,,"Behind Hotel Kaveri,Near S.T. Bus Stand",0,0,362266,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Jagruti Clinic,"1St Floor Shubham Tower,Opp Bus Station, Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6855.0,"20.9158979, 70.3628516","1St Floor Shubham Tower,Opp Bus Station, Veraval",0,0,362266,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Navchetan Surgical Hospital,"Near Bus Staion, Govr. Hospital Road, Opposite Lohana Bording, Veraval",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6856.0,"20.9158979, 70.3628516","Near Bus Staion, Govr. Hospital Road, Opposite Lohana Bording, Veraval",0,0,362266,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Urvashi Surgical Hospital,Opposite St Bus Station,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6857.0,"11.4284649, 78.1345598",Opposite St Bus Station,0,0,362266,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Hari Om Eye Hospital,"Near Bajaj Showroom, Opposite Bus Station",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6858.0,,"Near Bajaj Showroom, Opposite Bus Station",0,0,362560,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Rohan Orthopadic Hospital,"B/H Somnath Guest House, Opposite Dr.Godbole",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6859.0,,"B/H Somnath Guest House, Opposite Dr.Godbole",0,0,362560,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Sailja E.N.T Clinic,"Radhavallabh Comp., Opp Bus Station, B/H. Sonal Gest House",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6860.0,,"Radhavallabh Comp., Opp Bus Station, B/H. Sonal Gest House",0,0,362560,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Yashkamal Hospital,Nr.Bus Station,Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6861.0,"21.522184, 70.4578768",Nr.Bus Station,0,0,362560,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Fadadu Nidankendra and Hospital,"Balaji Complex, Nr. Dwarkadish Market, Sardar Baug Road",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6862.0,,"Balaji Complex, Nr. Dwarkadish Market, Sardar Baug Road",0,0,362640,0,0,0,0,0,241788 /242503,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Yash Kidney and Urology Hospital,"Business Centre, 2Nd Floor, Lal Bahadur Soc., Bus Station Road",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6863.0,,"Business Centre, 2Nd Floor, Lal Bahadur Soc., Bus Station Road",0,0,362640,0,0,0,0,0,"32925268, 25454614",0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Aagman Hospitac,"The New Arrival Near Railway Crossing Amrutnagar,Kodinar",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6864.0,,"The New Arrival Near Railway Crossing Amrutnagar,Kodinar",0,0,362720,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Sejal Clinic,"Marketing Yard,Kodinar",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6865.0,,"Marketing Yard,Kodinar",0,0,362720,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Shree R.N.Vala Smarak Trust Sanchalit Hospital. Rnv,"Veraval Highway Road, Kodinar",Junagadh,Gujarat,,,0,0,,,,0,0,0,0,,6866.0,"20.9158979, 70.3628516","Veraval Highway Road, Kodinar",0,0,362720,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,479.0
,Accord Multi Speciality Hospital,"Mundra Road, Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6867.0,"23.2143412, 69.6512178","Mundra Road, Bhuj",0,0,370001,0,0,0,0,0,02832  231033,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Anchorwala General Hospital,"At - Maska, Ta - Mandvi",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6868.0,,"At - Maska, Ta - Mandvi",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Arsh Hospital,"Mews Complex, Near Sankalp Hotel, New Station Road,Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6869.0,"23.2521731, 69.6758018","Mews Complex, Near Sankalp Hotel, New Station Road,Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Bhadarka Hospital,Hospital Road,Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6870.0,,Hospital Road,0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Bhanushali Nursing Home,"Shree Chambers, 1St Floor ,Opp G K General Hospital,B/S Dr Rashmi Shah Hospital,Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6871.0,"23.2419997, 69.6669324","Shree Chambers, 1St Floor,Opp G K General Hospital,B/S Dr Rashmi Shah Hospital,Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Chaandu Smruti Chest Hospital,"Dr. Raja Ram Polyclinic, Hospital Road, Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6872.0,"23.2434248, 69.6726564","Dr. Raja Ram Polyclinic, Hospital Road, Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,City Eye Hospital,"Opp New Gk General Hospital , Lotus Colony, Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6873.0,"23.2419997, 69.6669324","Opp New Gk General Hospital, Lotus Colony, Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Dr.Ganatra Hospital,"Hospital Road, Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6874.0,"23.2434248, 69.6726564","Hospital Road, Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Gupta Children Hospital,"Near Bhadraka Hospital, Shreyash App., Hospital Road Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6875.0,"23.2434248, 69.6726564","Near Bhadraka Hospital, Shreyash App., Hospital Road Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Jiya Hospital,"No. 96 B1, B2,Hospital Road,Behind Dr. Delhiwala Hospital,Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6876.0,"23.2419997, 69.6669324","No. 96 B1, B2,Hospital Road,Behind Dr. Delhiwala Hospital,Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Jiya Hospital,"96 B1,B2, Behind Dr.Delhiwala Hospital, Hospital Road, Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6877.0,"23.2434248, 69.6726564","96 B1,B2, Behind Dr.Delhiwala Hospital, Hospital Road, Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Kutch Ortho Surge Hospital,"Siddhi Complex, Hospital Road",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6878.0,"12.9969395, 77.5404847","Siddhi Complex, Hospital Road",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Laxmi Jyot Eye Hospital,"Bidada , Tal Mandvi",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6879.0,"22.833334, 69.3554783","Bidada, Tal Mandvi",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Lnm Cruop Lions Hospital and Research Centre,Rawal Wadi Relocation Site Bhuj,Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6880.0,"23.243674, 69.6449153",Rawal Wadi Relocation Site Bhuj,0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Madhu Drishti Eye Hospital,"General Hospital Road, Opposite Lic Office, Vijay Nagar",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6881.0,,"General Hospital Road, Opposite Lic Office, Vijay Nagar",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Mamta Gynae Hospital,Near Dr. Zota Hospital B/H Jain Dada Vadi Anjar,Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6882.0,,Near Dr. Zota Hospital B/H Jain Dada Vadi Anjar,0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Matrushri Meghbai Premji and Reserach Centre,Bhuj,Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6883.0,"23.2419997, 69.6669324",Bhuj,0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
,Mehta Hospital,"15, Anand, Near Santoshima Temple, Bhuj",Kachchh,Gujarat,,,0,0,,,,0,0,0,0,,6884.0,"23.2419997, 69.6669324","15, Anand, Near Santoshima Temple, Bhuj",0,0,370001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,468.0
